Date,Close
02/01/2014 16:00:00,117.81
03/01/2014 16:00:00,117.29
06/01/2014 16:00:00,116.4
07/01/2014 16:00:00,115.86
08/01/2014 16:00:00,114.05
09/01/2014 16:00:00,118.51
10/01/2014 16:00:00,117.85
13/01/2014 16:00:00,114.77
14/01/2014 16:00:00,116.23
15/01/2014 16:00:00,116.24
16/01/2014 16:00:00,115.56
17/01/2014 16:00:00,116.29
21/01/2014 16:00:00,114.93
22/01/2014 16:00:00,113.75
23/01/2014 16:00:00,112.8
24/01/2014 16:00:00,112.13
27/01/2014 16:00:00,113.08
28/01/2014 16:00:00,114.38
29/01/2014 16:00:00,112.23
30/01/2014 16:00:00,112.73
31/01/2014 16:00:00,112.36
03/02/2014 16:00:00,110.18
04/02/2014 16:00:00,110.89
05/02/2014 16:00:00,110.51
06/02/2014 16:00:00,114.26
07/02/2014 16:00:00,114.04
10/02/2014 16:00:00,113.85
11/02/2014 16:00:00,114.99
12/02/2014 16:00:00,114.81
13/02/2014 16:00:00,115.81
14/02/2014 16:00:00,116.1
18/02/2014 16:00:00,115.36
19/02/2014 16:00:00,114.91
20/02/2014 16:00:00,115.06
21/02/2014 16:00:00,113.19
24/02/2014 16:00:00,113.94
25/02/2014 16:00:00,115.46
26/02/2014 16:00:00,115.88
27/02/2014 16:00:00,116.22
28/02/2014 16:00:00,116.8
03/03/2014 16:00:00,115.75
04/03/2014 16:00:00,116.65
05/03/2014 16:00:00,116.47
06/03/2014 16:00:00,113.26
07/03/2014 16:00:00,113.5
10/03/2014 16:00:00,114.59
11/03/2014 16:00:00,114.71
12/03/2014 16:00:00,115.21
13/03/2014 16:00:00,114.41
14/03/2014 16:00:00,113.45
17/03/2014 16:00:00,113.46
18/03/2014 16:00:00,113.85
19/03/2014 16:00:00,112.85
20/03/2014 16:00:00,113.16
21/03/2014 16:00:00,113.83
24/03/2014 16:00:00,113.37
25/03/2014 16:00:00,113.93
26/03/2014 16:00:00,112.49
27/03/2014 16:00:00,112.03
28/03/2014 16:00:00,111.66
31/03/2014 16:00:00,111.68
01/04/2014 16:00:00,111.86
02/04/2014 16:00:00,111.55
03/04/2014 16:00:00,111.7
04/04/2014 16:00:00,110.65
07/04/2014 16:00:00,110.79
08/04/2014 16:00:00,112.66
09/04/2014 16:00:00,113.05
10/04/2014 16:00:00,112.08
11/04/2014 16:00:00,112.08
14/04/2014 16:00:00,112.56
15/04/2014 16:00:00,112.06
16/04/2014 16:00:00,113.49
17/04/2014 16:00:00,113.5
21/04/2014 16:00:00,114.1
22/04/2014 16:00:00,113.56
23/04/2014 16:00:00,114.79
24/04/2014 16:00:00,115.03
25/04/2014 16:00:00,115.01
28/04/2014 16:00:00,115.59
29/04/2014 16:00:00,115.4
30/04/2014 16:00:00,115.68
01/05/2014 16:00:00,115.56
02/05/2014 16:00:00,115.15
05/05/2014 16:00:00,114.49
06/05/2014 16:00:00,112.83
07/05/2014 16:00:00,111.98
08/05/2014 16:00:00,114.73
09/05/2014 16:00:00,115.39
12/05/2014 16:00:00,116.51
13/05/2014 16:00:00,116.29
14/05/2014 16:00:00,115.13
15/05/2014 16:00:00,114.35
16/05/2014 16:00:00,115.61
19/05/2014 16:00:00,116.37
20/05/2014 16:00:00,115.13
21/05/2014 16:00:00,114.52
22/05/2014 16:00:00,114.73
23/05/2014 16:00:00,114.94
27/05/2014 16:00:00,113.87
28/05/2014 16:00:00,114.24
29/05/2014 16:00:00,114.14
30/05/2014 16:00:00,116.02
02/06/2014 16:00:00,115.68
03/06/2014 16:00:00,115.51
04/06/2014 16:00:00,116.31
05/06/2014 16:00:00,117.75
06/06/2014 16:00:00,118.23
09/06/2014 16:00:00,117.78
10/06/2014 16:00:00,117.1
11/06/2014 16:00:00,116.24
12/06/2014 16:00:00,115.44
13/06/2014 16:00:00,115.3
16/06/2014 16:00:00,115.43
17/06/2014 16:00:00,115.45
18/06/2014 16:00:00,116.27
19/06/2014 16:00:00,116.26
20/06/2014 16:00:00,115.36
23/06/2014 16:00:00,115.22
24/06/2014 16:00:00,116.31
25/06/2014 16:00:00,116.27
26/06/2014 16:00:00,115.64
27/06/2014 16:00:00,115.49
30/06/2014 16:00:00,115.16
01/07/2014 16:00:00,115.44
02/07/2014 16:00:00,115.75
03/07/2014 16:00:00,116.35
07/07/2014 16:00:00,116.32
08/07/2014 16:00:00,117.46
09/07/2014 16:00:00,117.92
10/07/2014 16:00:00,118.08
11/07/2014 16:00:00,118.01
14/07/2014 16:00:00,117.36
15/07/2014 16:00:00,117.82
16/07/2014 16:00:00,117.85
17/07/2014 16:00:00,116.79
18/07/2014 16:00:00,117.74
21/07/2014 16:00:00,117.04
22/07/2014 16:00:00,117.55
23/07/2014 16:00:00,117.59
24/07/2014 16:00:00,118.14
25/07/2014 16:00:00,117.55
28/07/2014 16:00:00,117.12
29/07/2014 16:00:00,118.9
30/07/2014 16:00:00,118.18
31/07/2014 16:00:00,117.54
01/08/2014 16:00:00,117.88
04/08/2014 16:00:00,118.15
05/08/2014 16:00:00,118.05
06/08/2014 16:00:00,119.59
07/08/2014 16:00:00,117.8
08/08/2014 16:00:00,119.16
11/08/2014 16:00:00,119.18
12/08/2014 16:00:00,119.01
13/08/2014 16:00:00,118.64
14/08/2014 16:00:00,119.26
15/08/2014 16:00:00,118.57
18/08/2014 16:00:00,119.46
19/08/2014 16:00:00,120.61
20/08/2014 16:00:00,120.91
21/08/2014 16:00:00,121.62
22/08/2014 16:00:00,121.29
25/08/2014 16:00:00,121.39
26/08/2014 16:00:00,121.09
27/08/2014 16:00:00,121.24
28/08/2014 16:00:00,120.97
29/08/2014 16:00:00,121.08
02/09/2014 16:00:00,121.56
03/09/2014 16:00:00,121.35
04/09/2014 16:00:00,125.15
05/09/2014 16:00:00,127.01
08/09/2014 16:00:00,126.6
09/09/2014 16:00:00,126.11
10/09/2014 16:00:00,126.17
11/09/2014 16:00:00,125.94
12/09/2014 16:00:00,125.37
15/09/2014 16:00:00,125.71
16/09/2014 16:00:00,126.43
17/09/2014 16:00:00,126.01
18/09/2014 16:00:00,126.48
19/09/2014 16:00:00,126.5
22/09/2014 16:00:00,125.83
23/09/2014 16:00:00,125.51
24/09/2014 16:00:00,127.62
25/09/2014 16:00:00,125.66
26/09/2014 16:00:00,125.54
29/09/2014 16:00:00,125.32
30/09/2014 16:00:00,125.32
01/10/2014 16:00:00,124.76
02/10/2014 16:00:00,125.79
03/10/2014 16:00:00,127.09
06/10/2014 16:00:00,126.21
07/10/2014 16:00:00,125.27
08/10/2014 16:00:00,128.73
09/10/2014 16:00:00,128.41
10/10/2014 16:00:00,128.9
13/10/2014 16:00:00,126.97
14/10/2014 16:00:00,126.25
15/10/2014 16:00:00,124.3
16/10/2014 16:00:00,122.95
17/10/2014 16:00:00,124.65
20/10/2014 16:00:00,128.42
21/10/2014 16:00:00,130.28
22/10/2014 16:00:00,130.54
23/10/2014 16:00:00,130.59
24/10/2014 16:00:00,130.44
27/10/2014 16:00:00,130.92
28/10/2014 16:00:00,131.06
29/10/2014 16:00:00,131.93
30/10/2014 16:00:00,133
31/10/2014 16:00:00,133.37
03/11/2014 16:00:00,134.27
04/11/2014 16:00:00,136.55
05/11/2014 16:00:00,136.5
06/11/2014 16:00:00,137.09
07/11/2014 16:00:00,137.71
10/11/2014 16:00:00,137.69
11/11/2014 16:00:00,137.05
12/11/2014 16:00:00,136.9
13/11/2014 16:00:00,138.71
14/11/2014 16:00:00,138.48
17/11/2014 16:00:00,138.47
18/11/2014 16:00:00,139.21
19/11/2014 16:00:00,140.01
20/11/2014 16:00:00,139.25
21/11/2014 16:00:00,139.72
24/11/2014 16:00:00,139.8
25/11/2014 16:00:00,138.87
26/11/2014 16:00:00,139.75
28/11/2014 16:00:00,142.12
01/12/2014 16:00:00,141.98
02/12/2014 16:00:00,143.06
03/12/2014 16:00:00,142.69
04/12/2014 16:00:00,143.02
05/12/2014 16:00:00,143.25
08/12/2014 16:00:00,142.33
09/12/2014 16:00:00,143.04
10/12/2014 16:00:00,140.25
11/12/2014 16:00:00,141.41
12/12/2014 16:00:00,137.88
15/12/2014 16:00:00,138.19
16/12/2014 16:00:00,137.31
17/12/2014 16:00:00,139.33
18/12/2014 16:00:00,141.56
19/12/2014 16:00:00,141.77
22/12/2014 16:00:00,143.21
23/12/2014 16:00:00,144.15
24/12/2014 16:00:00,143.65
26/12/2014 16:00:00,143.44
29/12/2014 16:00:00,143.34
30/12/2014 16:00:00,143.49
31/12/2014 16:00:00,141.75
02/01/2015 16:00:00,141.61
05/01/2015 16:00:00,140
06/01/2015 16:00:00,141.85
07/01/2015 16:00:00,144.32
08/01/2015 16:00:00,145.56
09/01/2015 16:00:00,143.32
12/01/2015 16:00:00,142.52
13/01/2015 16:00:00,141.09
14/01/2015 16:00:00,139.31
15/01/2015 16:00:00,139.31
16/01/2015 16:00:00,139.72
20/01/2015 16:00:00,139.38
21/01/2015 16:00:00,139.14
22/01/2015 16:00:00,141.27
23/01/2015 16:00:00,142.05
26/01/2015 16:00:00,142.91
27/01/2015 16:00:00,140.99
28/01/2015 16:00:00,139.62
29/01/2015 16:00:00,140.64
30/01/2015 16:00:00,142.99
02/02/2015 16:00:00,146
03/02/2015 16:00:00,153.75
04/02/2015 16:00:00,155.92
05/02/2015 16:00:00,149.09
06/02/2015 16:00:00,148.7
09/02/2015 16:00:00,147.54
10/02/2015 16:00:00,148.22
11/02/2015 16:00:00,147.46
12/02/2015 16:00:00,147.76
13/02/2015 16:00:00,147.1
17/02/2015 16:00:00,147.53
18/02/2015 16:00:00,147.23
19/02/2015 16:00:00,146.67
20/02/2015 16:00:00,147.54
23/02/2015 16:00:00,148.39
24/02/2015 16:00:00,148.21
25/02/2015 16:00:00,147.48
26/02/2015 16:00:00,146.65
27/02/2015 16:00:00,146.96
02/03/2015 16:00:00,147.94
03/03/2015 16:00:00,147.37
04/03/2015 16:00:00,147.17
05/03/2015 16:00:00,151.17
06/03/2015 16:00:00,149.54
09/03/2015 16:00:00,150.68
