Date,Close
02/01/2014 16:00:00,58.21
03/01/2014 16:00:00,58.66
06/01/2014 16:00:00,59
07/01/2014 16:00:00,58.32
08/01/2014 16:00:00,58.87
09/01/2014 16:00:00,58.76
10/01/2014 16:00:00,58.49
13/01/2014 16:00:00,57.7
14/01/2014 16:00:00,57.74
15/01/2014 16:00:00,59.49
16/01/2014 16:00:00,58.99
17/01/2014 16:00:00,58.11
21/01/2014 16:00:00,58.17
22/01/2014 16:00:00,57.59
23/01/2014 16:00:00,56.47
24/01/2014 16:00:00,55.09
27/01/2014 16:00:00,55.09
28/01/2014 16:00:00,55.74
29/01/2014 16:00:00,55.53
30/01/2014 16:00:00,56
31/01/2014 16:00:00,55.36
03/02/2014 16:00:00,54.31
04/02/2014 16:00:00,54.95
05/02/2014 16:00:00,55.21
06/02/2014 16:00:00,56.48
07/02/2014 16:00:00,56.62
10/02/2014 16:00:00,56.74
11/02/2014 16:00:00,57.43
12/02/2014 16:00:00,57.52
13/02/2014 16:00:00,58.03
14/02/2014 16:00:00,58.15
18/02/2014 16:00:00,58.49
19/02/2014 16:00:00,57.26
20/02/2014 16:00:00,57.58
21/02/2014 16:00:00,57.61
24/02/2014 16:00:00,58.03
25/02/2014 16:00:00,57.03
26/02/2014 16:00:00,56.75
27/02/2014 16:00:00,56.69
28/02/2014 16:00:00,56.82
03/03/2014 16:00:00,56.21
04/03/2014 16:00:00,57.26
05/03/2014 16:00:00,58.16
06/03/2014 16:00:00,58.9
07/03/2014 16:00:00,59.4
10/03/2014 16:00:00,59.2
11/03/2014 16:00:00,58.19
12/03/2014 16:00:00,57.92
13/03/2014 16:00:00,57.42
14/03/2014 16:00:00,56.8
17/03/2014 16:00:00,57.58
18/03/2014 16:00:00,58.06
19/03/2014 16:00:00,58.3
20/03/2014 16:00:00,60.11
21/03/2014 16:00:00,60.17
24/03/2014 16:00:00,61.07
25/03/2014 16:00:00,60.93
26/03/2014 16:00:00,59.9
27/03/2014 16:00:00,59.92
28/03/2014 16:00:00,60.04
31/03/2014 16:00:00,60.71
01/04/2014 16:00:00,60.67
02/04/2014 16:00:00,60.48
03/04/2014 16:00:00,60.66
04/04/2014 16:00:00,59.81
07/04/2014 16:00:00,59
08/04/2014 16:00:00,58.85
09/04/2014 16:00:00,59.27
10/04/2014 16:00:00,57.4
11/04/2014 16:00:00,55.3
14/04/2014 16:00:00,54.96
15/04/2014 16:00:00,54.8
16/04/2014 16:00:00,55.26
17/04/2014 16:00:00,55.22
21/04/2014 16:00:00,55.03
22/04/2014 16:00:00,55.81
23/04/2014 16:00:00,56.05
24/04/2014 16:00:00,56.19
25/04/2014 16:00:00,55.7
28/04/2014 16:00:00,55.49
29/04/2014 16:00:00,56.1
30/04/2014 16:00:00,55.98
01/05/2014 16:00:00,55.72
02/05/2014 16:00:00,55.58
05/05/2014 16:00:00,54.22
06/05/2014 16:00:00,53.34
07/05/2014 16:00:00,54.05
08/05/2014 16:00:00,54.36
09/05/2014 16:00:00,54.01
12/05/2014 16:00:00,54.65
13/05/2014 16:00:00,54.62
14/05/2014 16:00:00,54.36
15/05/2014 16:00:00,53.51
16/05/2014 16:00:00,53.31
19/05/2014 16:00:00,53.83
20/05/2014 16:00:00,53.72
21/05/2014 16:00:00,54.12
22/05/2014 16:00:00,54.55
23/05/2014 16:00:00,54.53
27/05/2014 16:00:00,55.14
28/05/2014 16:00:00,55.45
29/05/2014 16:00:00,55.72
30/05/2014 16:00:00,55.57
02/06/2014 16:00:00,55.35
03/06/2014 16:00:00,55.6
04/06/2014 16:00:00,55.68
05/06/2014 16:00:00,56.63
06/06/2014 16:00:00,56.97
09/06/2014 16:00:00,57.42
10/06/2014 16:00:00,57.9
11/06/2014 16:00:00,57.27
12/06/2014 16:00:00,57.04
13/06/2014 16:00:00,57.04
16/06/2014 16:00:00,56.87
17/06/2014 16:00:00,57.42
18/06/2014 16:00:00,57.78
19/06/2014 16:00:00,57.3
20/06/2014 16:00:00,57.55
23/06/2014 16:00:00,58.19
24/06/2014 16:00:00,57.42
25/06/2014 16:00:00,57.53
26/06/2014 16:00:00,57.39
27/06/2014 16:00:00,57.53
30/06/2014 16:00:00,57.62
01/07/2014 16:00:00,57.57
02/07/2014 16:00:00,56.97
03/07/2014 16:00:00,57.05
07/07/2014 16:00:00,56.67
08/07/2014 16:00:00,55.76
09/07/2014 16:00:00,56.02
10/07/2014 16:00:00,55.56
11/07/2014 16:00:00,55.8
14/07/2014 16:00:00,56.29
15/07/2014 16:00:00,58.27
16/07/2014 16:00:00,58.71
17/07/2014 16:00:00,57.86
18/07/2014 16:00:00,58.23
21/07/2014 16:00:00,58.24
22/07/2014 16:00:00,58.67
23/07/2014 16:00:00,59
24/07/2014 16:00:00,59.17
25/07/2014 16:00:00,59.01
28/07/2014 16:00:00,59.19
29/07/2014 16:00:00,58.64
30/07/2014 16:00:00,58.91
31/07/2014 16:00:00,57.67
01/08/2014 16:00:00,56.48
04/08/2014 16:00:00,56.65
05/08/2014 16:00:00,56.06
06/08/2014 16:00:00,56.23
07/08/2014 16:00:00,55.91
08/08/2014 16:00:00,56.34
11/08/2014 16:00:00,56.32
12/08/2014 16:00:00,56.35
13/08/2014 16:00:00,56.72
14/08/2014 16:00:00,56.98
15/08/2014 16:00:00,56.75
18/08/2014 16:00:00,57.23
19/08/2014 16:00:00,57.56
20/08/2014 16:00:00,57.64
21/08/2014 16:00:00,58.5
22/08/2014 16:00:00,58.49
25/08/2014 16:00:00,59.34
26/08/2014 16:00:00,59.74
27/08/2014 16:00:00,59.59
28/08/2014 16:00:00,59.16
29/08/2014 16:00:00,59.45
02/09/2014 16:00:00,59.67
03/09/2014 16:00:00,59.7
04/09/2014 16:00:00,59.71
05/09/2014 16:00:00,59.91
08/09/2014 16:00:00,59.89
09/09/2014 16:00:00,59.06
10/09/2014 16:00:00,59.22
11/09/2014 16:00:00,59.76
12/09/2014 16:00:00,60.03
15/09/2014 16:00:00,59.94
16/09/2014 16:00:00,59.99
17/09/2014 16:00:00,60.31
18/09/2014 16:00:00,61.32
19/09/2014 16:00:00,61.11
22/09/2014 16:00:00,60.91
23/09/2014 16:00:00,60.94
24/09/2014 16:00:00,61.63
25/09/2014 16:00:00,60.15
26/09/2014 16:00:00,60.56
29/09/2014 16:00:00,60.33
30/09/2014 16:00:00,60.24
01/10/2014 16:00:00,59.77
02/10/2014 16:00:00,58.84
03/10/2014 16:00:00,60.3
06/10/2014 16:00:00,60.18
07/10/2014 16:00:00,59.27
08/10/2014 16:00:00,60.4
09/10/2014 16:00:00,59.08
10/10/2014 16:00:00,58.52
13/10/2014 16:00:00,58.16
14/10/2014 16:00:00,57.99
15/10/2014 16:00:00,55.53
16/10/2014 16:00:00,55.08
17/10/2014 16:00:00,56.2
20/10/2014 16:00:00,56.63
21/10/2014 16:00:00,57.93
22/10/2014 16:00:00,57.45
23/10/2014 16:00:00,58.06
24/10/2014 16:00:00,58.74
27/10/2014 16:00:00,58.64
28/10/2014 16:00:00,59.63
29/10/2014 16:00:00,59.29
30/10/2014 16:00:00,59.39
31/10/2014 16:00:00,60.48
03/11/2014 16:00:00,60.88
04/11/2014 16:00:00,60.25
05/11/2014 16:00:00,61.15
06/11/2014 16:00:00,61.23
07/11/2014 16:00:00,61.47
10/11/2014 16:00:00,61.93
11/11/2014 16:00:00,61.37
12/11/2014 16:00:00,60.56
13/11/2014 16:00:00,60.23
14/11/2014 16:00:00,60.28
17/11/2014 16:00:00,60.38
18/11/2014 16:00:00,60.53
19/11/2014 16:00:00,60.6
20/11/2014 16:00:00,60.12
21/11/2014 16:00:00,60.45
24/11/2014 16:00:00,60.96
25/11/2014 16:00:00,60.3
26/11/2014 16:00:00,60.34
28/11/2014 16:00:00,60.16
01/12/2014 16:00:00,60
02/12/2014 16:00:00,61.08
03/12/2014 16:00:00,61.54
04/12/2014 16:00:00,61.38
05/12/2014 16:00:00,62.7
08/12/2014 16:00:00,62.67
09/12/2014 16:00:00,62.45
10/12/2014 16:00:00,60.68
11/12/2014 16:00:00,61.14
12/12/2014 16:00:00,60.04
15/12/2014 16:00:00,59.16
16/12/2014 16:00:00,58.43
17/12/2014 16:00:00,59.77
18/12/2014 16:00:00,61.48
19/12/2014 16:00:00,61.93
22/12/2014 16:00:00,61.94
23/12/2014 16:00:00,62.48
24/12/2014 16:00:00,62.48
26/12/2014 16:00:00,62.55
29/12/2014 16:00:00,62.96
30/12/2014 16:00:00,63.15
31/12/2014 16:00:00,62.58
02/01/2015 16:00:00,62.49
05/01/2015 16:00:00,60.55
06/01/2015 16:00:00,58.98
07/01/2015 16:00:00,59.07
08/01/2015 16:00:00,60.39
09/01/2015 16:00:00,59.34
12/01/2015 16:00:00,58.83
13/01/2015 16:00:00,58.84
14/01/2015 16:00:00,56.81
15/01/2015 16:00:00,54.99
16/01/2015 16:00:00,55.93
20/01/2015 16:00:00,55.71
21/01/2015 16:00:00,55.89
22/01/2015 16:00:00,57.59
23/01/2015 16:00:00,56.68
26/01/2015 16:00:00,56.77
27/01/2015 16:00:00,56.2
28/01/2015 16:00:00,54.75
29/01/2015 16:00:00,55.67
30/01/2015 16:00:00,54.38
02/02/2015 16:00:00,55.47
03/02/2015 16:00:00,56.72
04/02/2015 16:00:00,56.38
05/02/2015 16:00:00,56.77
06/02/2015 16:00:00,57.89
09/02/2015 16:00:00,57.82
10/02/2015 16:00:00,58.46
11/02/2015 16:00:00,58.37
12/02/2015 16:00:00,59.57
13/02/2015 16:00:00,59.67
17/02/2015 16:00:00,60.1
18/02/2015 16:00:00,59.37
19/02/2015 16:00:00,59.23
20/02/2015 16:00:00,59.8
23/02/2015 16:00:00,59.35
24/02/2015 16:00:00,60.82
25/02/2015 16:00:00,61.14
26/02/2015 16:00:00,61.58
27/02/2015 16:00:00,61.28
02/03/2015 16:00:00,61.77
03/03/2015 16:00:00,61.97
04/03/2015 16:00:00,62.13
05/03/2015 16:00:00,62
06/03/2015 16:00:00,60.89
09/03/2015 16:00:00,61.5
10/03/2015 16:00:00,59.96
11/03/2015 16:00:00,60.24
12/03/2015 16:00:00,61.37
13/03/2015 16:00:00,61
16/03/2015 16:00:00,61.85
17/03/2015 16:00:00,61.61
18/03/2015 16:00:00,61.75
19/03/2015 16:00:00,61.2
20/03/2015 16:00:00,61.75
23/03/2015 16:00:00,61.14
